Orthogroup	Prbb	Syaa
OG0000388	Prbb.g_00158	Syaa.g_02375
OG0000389	Prbb.g_00161	Syaa.g_02379
OG0000390	Prbb.g_00170	Syaa.g_02398
OG0000391	Prbb.g_00174	Syaa.g_02403
OG0000392	Prbb.g_00177	Syaa.g_02409
OG0000393	Prbb.g_00180	Syaa.g_02412
OG0000394	Prbb.g_00181	Syaa.g_02413
OG0000395	Prbb.g_00182	Syaa.g_02414
OG0000396	Prbb.g_00185	Syaa.g_02417
OG0000397	Prbb.g_00187	Syaa.g_02419
OG0000398	Prbb.g_00190	Syaa.g_02424
OG0000399	Prbb.g_00191	Syaa.g_02425
OG0000400	Prbb.g_00192	Syaa.g_02426
OG0000401	Prbb.g_00193	Syaa.g_02427
OG0000402	Prbb.g_01101	Syaa.g_02429
OG0000403	Prbb.g_00194	Syaa.g_02430
OG0000404	Prbb.g_00195	Syaa.g_02431
OG0000405	Prbb.g_00200	Syaa.g_02446
OG0000406	Prbb.g_00204	Syaa.g_02450
OG0000407	Prbb.g_00205	Syaa.g_02451
OG0000408	Prbb.g_00207	Syaa.g_02458
OG0000409	Prbb.g_00209	Syaa.g_02460
OG0000410	Prbb.g_00210	Syaa.g_02461
OG0000411	Prbb.g_00211	Syaa.g_02462
OG0000412	Prbb.g_00212	Syaa.g_02463
OG0000413	Prbb.g_00213	Syaa.g_02465
OG0000415	Prbb.g_00215	Syaa.g_02466
OG0000416	Prbb.g_00216	Syaa.g_02467
OG0000417	Prbb.g_00217	Syaa.g_02468
OG0000418	Prbb.g_00222	Syaa.g_02473
OG0000419	Prbb.g_00224	Syaa.g_02475
OG0000420	Prbb.g_00225	Syaa.g_02477
OG0000421	Prbb.g_00229	Syaa.g_02482
OG0000422	Prbb.g_00230	Syaa.g_02483
OG0000423	Prbb.g_00231	Syaa.g_02484
OG0000424	Prbb.g_00232	Syaa.g_02485
OG0000425	Prbb.g_00233	Syaa.g_02486
OG0000426	Prbb.g_00234	Syaa.g_02487
OG0000427	Prbb.g_00235	Syaa.g_02488
OG0000428	Prbb.g_00237	Syaa.g_02491
OG0000429	Prbb.g_00238	Syaa.g_02493
OG0000430	Prbb.g_00239	Syaa.g_02495
OG0000431	Prbb.g_00241	Syaa.g_02498
OG0000432	Prbb.g_00245	Syaa.g_02504
OG0000433	Prbb.g_00246	Syaa.g_02513
OG0000434	Prbb.g_00247	Syaa.g_02514
OG0000435	Prbb.g_00248	Syaa.g_02516
OG0000436	Prbb.g_00253	Syaa.g_02525
OG0000437	Prbb.g_00254	Syaa.g_02526
OG0000438	Prbb.g_00255	Syaa.g_02527
OG0000439	Prbb.g_00257	Syaa.g_02529
OG0000440	Prbb.g_00258	Syaa.g_02530
OG0000441	Prbb.g_00260	Syaa.g_02534
OG0000442	Prbb.g_00261	Syaa.g_02535
OG0000443	Prbb.g_00262	Syaa.g_02536
OG0000444	Prbb.g_00267	Syaa.g_02542
OG0000445	Prbb.g_00268	Syaa.g_02543
OG0000446	Prbb.g_00269	Syaa.g_02545
OG0000447	Prbb.g_00270	Syaa.g_02548
OG0000448	Prbb.g_00271	Syaa.g_02549
OG0000449	Prbb.g_00272	Syaa.g_02550
OG0000450	Prbb.g_00273	Syaa.g_02553
OG0000451	Prbb.g_00274	Syaa.g_02554
OG0000452	Prbb.g_00277	Syaa.g_02558
OG0000453	Prbb.g_00278	Syaa.g_02559
OG0000454	Prbb.g_00279	Syaa.g_02560
OG0000455	Prbb.g_00280	Syaa.g_02561
OG0000456	Prbb.g_00281	Syaa.g_02562
OG0000457	Prbb.g_00282	Syaa.g_02564
OG0000458	Prbb.g_00283	Syaa.g_02565
OG0000459	Prbb.g_00284	Syaa.g_02566
OG0000460	Prbb.g_00292	Syaa.g_02111
OG0000461	Prbb.g_00300	Syaa.g_00318
OG0000462	Prbb.g_00302	Syaa.g_00315
OG0000463	Prbb.g_00303	Syaa.g_00314
OG0000464	Prbb.g_00304	Syaa.g_00313
OG0000465	Prbb.g_00305	Syaa.g_00311
OG0000466	Prbb.g_00306	Syaa.g_00306
OG0000467	Prbb.g_00307	Syaa.g_00304
OG0000468	Prbb.g_00309	Syaa.g_00299
OG0000469	Prbb.g_00316	Syaa.g_00285
OG0000470	Prbb.g_00318	Syaa.g_00283
OG0000471	Prbb.g_00319	Syaa.g_00282
OG0000472	Prbb.g_00320	Syaa.g_00280
OG0000473	Prbb.g_00322	Syaa.g_00278
OG0000474	Prbb.g_00323	Syaa.g_00277
OG0000475	Prbb.g_00324	Syaa.g_00276
OG0000476	Prbb.g_00326	Syaa.g_00274
OG0000477	Prbb.g_00328	Syaa.g_00268
OG0000478	Prbb.g_00329	Syaa.g_00267
OG0000479	Prbb.g_00330	Syaa.g_00266
OG0000480	Prbb.g_00334	Syaa.g_00259
OG0000481	Prbb.g_00336	Syaa.g_00257
OG0000482	Prbb.g_00337	Syaa.g_00256
OG0000483	Prbb.g_00340	Syaa.g_00252
OG0000484	Prbb.g_00341	Syaa.g_00251
OG0000485	Prbb.g_00342	Syaa.g_00250
OG0000486	Prbb.g_00343	Syaa.g_00249
OG0000487	Prbb.g_00346	Syaa.g_00243
OG0000488	Prbb.g_00349	Syaa.g_00239
OG0000489	Prbb.g_00354	Syaa.g_00228
OG0000490	Prbb.g_00359	Syaa.g_00220
OG0000491	Prbb.g_00360	Syaa.g_00218
OG0000492	Prbb.g_00362	Syaa.g_00214
OG0000493	Prbb.g_00363	Syaa.g_00213
OG0000494	Prbb.g_00364	Syaa.g_00212
OG0000495	Prbb.g_00365	Syaa.g_00211
OG0000496	Prbb.g_00366	Syaa.g_00210
OG0000497	Prbb.g_00367	Syaa.g_00209
OG0000498	Prbb.g_00368	Syaa.g_00208
OG0000499	Prbb.g_00369	Syaa.g_00207
OG0000500	Prbb.g_00370	Syaa.g_00206
OG0000501	Prbb.g_00372	Syaa.g_00203
OG0000502	Prbb.g_00375	Syaa.g_00190
OG0000503	Prbb.g_00394	Syaa.g_02182
OG0000504	Prbb.g_00396	Syaa.g_02180
OG0000505	Prbb.g_00397	Syaa.g_02179
OG0000506	Prbb.g_00398	Syaa.g_02177
OG0000507	Prbb.g_00401	Syaa.g_02171
OG0000508	Prbb.g_00404	Syaa.g_02167
OG0000509	Prbb.g_00406	Syaa.g_02165
OG0000510	Prbb.g_00407	Syaa.g_02164
OG0000511	Prbb.g_00408	Syaa.g_02163
OG0000512	Prbb.g_00410	Syaa.g_02161
OG0000513	Prbb.g_00419	Syaa.g_02145
OG0000514	Prbb.g_00436	Syaa.g_02118
OG0000515	Prbb.g_00437	Syaa.g_02117
OG0000516	Prbb.g_00438	Syaa.g_00698
OG0000517	Prbb.g_00440	Syaa.g_00702
OG0000518	Prbb.g_00451	Syaa.g_00714
OG0000519	Prbb.g_00452	Syaa.g_00715
OG0000520	Prbb.g_00453	Syaa.g_00716
OG0000521	Prbb.g_00458	Syaa.g_01864
OG0000522	Prbb.g_00460	Syaa.g_01862
OG0000523	Prbb.g_00461	Syaa.g_01859
OG0000524	Prbb.g_00468	Syaa.g_01856
OG0000525	Prbb.g_00472	Syaa.g_01851
OG0000526	Prbb.g_00473	Syaa.g_01848
