Orthogroup	Syar	Syaf
OG0000486	Syar.g_00238	Syaf.g_00257
OG0000487	Syar.g_00245	Syaf.g_00263
OG0000488	Syar.g_00853	Syaf.g_00267
OG0000489	Syar.g_00833	Syaf.g_00274
OG0000490	Syar.g_00823	Syaf.g_00284
OG0000491	Syar.g_00822	Syaf.g_00285
OG0000492	Syar.g_00727	Syaf.g_00288
OG0000493	Syar.g_00726	Syaf.g_00289
OG0000494	Syar.g_00725	Syaf.g_00290
OG0000495	Syar.g_00724	Syaf.g_00291
OG0000496	Syar.g_00723	Syaf.g_00292
OG0000497	Syar.g_00722	Syaf.g_00293
OG0000498	Syar.g_00721	Syaf.g_00294
OG0000499	Syar.g_00720	Syaf.g_00295
OG0000500	Syar.g_00719	Syaf.g_00296
OG0000501	Syar.g_00716	Syaf.g_00299
OG0000502	Syar.g_00275	Syaf.g_00319
OG0000503	Syar.g_01118	Syaf.g_00023
OG0000504	Syar.g_01120	Syaf.g_00021
OG0000505	Syar.g_01121	Syaf.g_00020
OG0000506	Syar.g_01123	Syaf.g_00018
OG0000507	Syar.g_01129	Syaf.g_00012
OG0000508	Syar.g_01141	Syaf.g_00008
OG0000509	Syar.g_01143	Syaf.g_00006
OG0000510	Syar.g_01144	Syaf.g_00005
OG0000511	Syar.g_01145	Syaf.g_00004
OG0000512	Syar.g_01147	Syaf.g_00002
OG0000513	Syar.g_01166	Syaf.g_02803
OG0000514	Syar.g_01169	Syaf.g_02796
OG0000515	Syar.g_01170	Syaf.g_02795
OG0000516	Syar.g_01172	Syaf.g_01219
OG0000517	Syar.g_01176	Syaf.g_01213
OG0000518	Syar.g_02868	Syaf.g_01230
OG0000519	Syar.g_02867	Syaf.g_01231
OG0000520	Syar.g_02866	Syaf.g_01235
OG0000521	Syar.g_01419	Syaf.g_02542
OG0000522	Syar.g_01421	Syaf.g_02538
OG0000523	Syar.g_01422	Syaf.g_02537
OG0000524	Syar.g_01244	Syaf.g_02531
OG0000525	Syar.g_01263	Syaf.g_02507
OG0000526	Syar.g_01266	Syaf.g_02504
OG0000527	Syar.g_01271	Syaf.g_02500
OG0000528	Syar.g_01466	Syaf.g_02728
OG0000529	Syar.g_01470	Syaf.g_02720
OG0000530	Syar.g_01473	Syaf.g_02717
OG0000531	Syar.g_01474	Syaf.g_02716
OG0000532	Syar.g_01477	Syaf.g_02713
OG0000533	Syar.g_01479	Syaf.g_02712
OG0000534	Syar.g_01480	Syaf.g_02711
OG0000535	Syar.g_01481	Syaf.g_02710
OG0000536	Syar.g_01482	Syaf.g_02709
OG0000537	Syar.g_01483	Syaf.g_02708
OG0000538	Syar.g_01496	Syaf.g_02697
OG0000539	Syar.g_01497	Syaf.g_02696
OG0000540	Syar.g_01498	Syaf.g_02695
OG0000541	Syar.g_01499	Syaf.g_02694
OG0000542	Syar.g_01502	Syaf.g_02691
OG0000543	Syar.g_01504	Syaf.g_02689
OG0000544	Syar.g_01505	Syaf.g_02688
OG0000545	Syar.g_01507	Syaf.g_02686
OG0000546	Syar.g_01509	Syaf.g_02684
OG0000547	Syar.g_01511	Syaf.g_02682
OG0000548	Syar.g_01512	Syaf.g_02681
OG0000549	Syar.g_02693	Syaf.g_02676
OG0000550	Syar.g_02689	Syaf.g_02671
OG0000551	Syar.g_02684	Syaf.g_02666
OG0000552	Syar.g_02683	Syaf.g_02665
OG0000553	Syar.g_02679	Syaf.g_02663
OG0000554	Syar.g_02352	Syaf.g_02653
OG0000555	Syar.g_02336	Syaf.g_02635
OG0000556	Syar.g_02332	Syaf.g_02630
